"ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter","Taxon","Assemblage","Group","z2","Stressor","cp","Class_allCP","Class_hiloCP"
0,0,71,1,36.34,0.02,4.65,0,0,1.83225,3.12172,3.3610125,0.83,0.95,4.53751409157719,0,"Lara","BMI","Neither",4.65,"AFDM",NA,"Other","Other"
22.699,20.6259,565,2,54.79,0.01,3.38,0.1121,0.5318,5.033,22.699,25.20495,0.46,0.9,4.23645309700348,0,"Lepidostoma","BMI","Neither",3.38,"AFDM",NA,"Other","Other"
0,0.727,89,2,5.63,0.06,1.99,0,0.015880535,0.758,5.423,22.60495,0.54,0.92,3.95090667624532,0,"Limnophila","BMI","Neither",1.99,"AFDM",NA,"Other","Other"
0.3745,0.457,48,1,5.65,0.01,7.32,0.25985,0.289,0.39475,1.061,1.2538,0.96,0.99,7.10227128742339,1,"Limonia","BMI","Decreasers",-7.32,"AFDM",2.0245,"Sensitive","Sensitive"
0.169,0.1745,85,1,14.52,0.01,8.04,0.167,0.169,0.188,9.82875650000001,13.288166,0.66,1,7.17207380276196,0,"Lymnaea","BMI","Neither",8.04,"AFDM",NA,"Other","Other"
20.6259,20.6259,416,2,53.53,0.01,4.23,0.21275,0.5318,15.7805,21.4163,24.21858,0.62,0.98,4.34105069748997,0,"Malenka","BMI","Neither",4.23,"AFDM",NA,"Other","Other"
22.699,11.556,107,2,16.69,0.01,4.73,0.168275,0.5327,10.839515,21.039,22.699,0.81,0.96,5.60668028150154,0,"Maruina","BMI","Neither",4.73,"AFDM",NA,"Other","Other"
0,2.5,331,1,20.23,0.01,4.87,0,0.2628,2.291915,4.8624095,5.0662915,1,0.99,5.35767937819852,1,"Matriella_Serratella","BMI","Decreasers",-4.87,"AFDM",2.0245,"Sensitive","Other"
6.6474,6.617,59,2,6.39,0.02,2.8,0,0,1.405,6.6474,10.185465,0.49,0.91,4.57806089684144,0,"Menetus","BMI","Neither",2.8,"AFDM",NA,"Other","Other"
21.039,16.911,66,2,15.53,0.01,6.25,0.30245,0.6744,13.4149,20.6259,24.092405,0.63,0.92,5.34723997687913,0,"Meringodixa","BMI","Neither",6.25,"AFDM",NA,"Other","Other"
22.699,22.699,483,2,57.53,0.02,3.12,0.4023,0.599,6.79,22.699,22.699,0.61,0.85,3.44913730422363,0,"Micrasema","BMI","Neither",3.12,"AFDM",NA,"Other","Other"
9.229432,0.455,115,2,8.71,0.01,3.8,0.32415,0.3662,0.46125,9.5715,10.839515,1,1,4.56503650853604,2,"Microcylloepus","BMI","Increasers",3.8,"AFDM",3.08626,"Tolerant","Other"
25.299,0.8125,73,2,5.27,0.01,3.78,0,0.0081,0.827,3.94275,22.08865,0.66,0.94,3.94005807704203,0,"Mystacides","BMI","Neither",3.78,"AFDM",NA,"Other","Other"
0,0,107,1,25.05,0.02,3.34,0,0,1.42175,21.1951,33.282,0.75,0.83,4.13544846982206,0,"Narpus","BMI","Neither",3.34,"AFDM",NA,"Other","Other"
18.91195,9.029,57,2,6.3,0.05,2.12,0,0.14161835,2.9445,18.994345,27.8,0.53,0.95,4.86993045367849,0,"Nectopsyche","BMI","Neither",2.12,"AFDM",NA,"Other","Other"
0,0.188,77,1,8.54,0.04,2.55,0.149,0.169,0.6425,3.66610000000001,5.795225,0.81,0.75,3.77636452133875,0,"Nematoda","BMI","Neither",2.55,"AFDM",NA,"Other","Other"
0,0,189,1,51.29,0.01,7.51,0,0,1.04275,2.12048000000001,6.4088725,0.94,0.95,4.85974963143164,0,"Neophylax","BMI","Neither",7.51,"AFDM",NA,"Other","Other"
21.039,19.97435,194,2,43.03,0.01,5.4,0,0.1494,13.706365,21.039,22.699,0.83,0.99,6.5245356893511,0,"Neoplasta","BMI","Neither",5.4,"AFDM",NA,"Other","Other"
15.7805,0.521,75,2,4.72,0.06,1.49,0.3008,0.317,1.6387225,15.7805,19.7478225,0.66,0.78,3.40622389312512,0,"Neotrichia","BMI","Neither",1.49,"AFDM",NA,"Other","Other"
25.299,4.7365,202,2,12.64,0.09,1.8,0,0.25775,1.969925,25.299,25.299,0.84,0.92,4.26915697809906,0,"Ochrotrichia","BMI","Neither",1.8,"AFDM",NA,"Other","Other"
0,0.909,112,1,8.26,0.01,5.1,0.833,0.86775,1.625,2.825,2.88055,0.97,0.99,5.79083974522891,1,"Octogomphus_specularis","BMI","Decreasers",-5.1,"AFDM",2.0245,"Sensitive","Sensitive"
12.081,0.724,91,2,6.79,0.01,4.57,0.524237,0.5299,0.808,1.1047,1.996425,0.96,0.99,5.17443160623238,2,"Oecetis","BMI","Increasers",4.57,"AFDM",3.08626,"Tolerant","Other"
0,0.52024,938,1,51.77,0.01,7.1,0.4633,0.49475,0.54025,0.65615,0.947975,1,1,7.24880464357681,1,"Oligochaeta","BMI","Decreasers",-7.1,"AFDM",2.0245,"Sensitive","Sensitive"
13.28228,5.93189,513,1,34.03,0.01,4.68,0.755925,1.4345,4.5133425,7.19013,7.4,0.92,1,5.74154998204842,0,"Optioservus","BMI","Neither",4.68,"AFDM",NA,"Other","Other"
25.299,0.5245,232,2,13.88,0.01,3.02,0.00665,0.4428,1.364,27.8225,33.282,0.51,0.97,4.75358591750149,0,"Ordobrevia","BMI","Neither",3.02,"AFDM",NA,"Other","Other"
0,0,104,1,26.44,0.02,3.66,0,0,0.598,5.441,6.43127,0.93,0.89,3.63646249478668,0,"Oreodytes","BMI","Neither",3.66,"AFDM",NA,"Other","Other"
0,1.92184,54,1,5.72,0.01,7.33,0.1425,0.19645,1.809,1.97,1.97,1,1,8.02289536576919,1,"Orohermes","BMI","Decreasers",-7.33,"AFDM",2.0245,"Sensitive","Sensitive"
0,0.304,1137,1,54.1,0.02,2.65,0,0.0125,0.671,8.77233400000005,15.69283,0.71,0.94,3.63522763144047,0,"Orthocladiinae","BMI","Neither",2.65,"AFDM",NA,"Other","Other"
12.93065,7.31,561,2,48.69,0.01,8.96,2.5085025,2.8611,6.24725,8.28163,8.5109485,1,1,9.84791824685462,2,"Ostracoda","BMI","Increasers",8.96,"AFDM",3.08626,"Tolerant","Tolerant"
25.299,12.93065,66,2,15.65,0.01,7.35,0.19695,0.20525,13.165325,21.90745,25.2,0.73,1,10.2334841891793,0,"Oxyethira","BMI","Neither",7.35,"AFDM",NA,"Other","Other"
0,5.27135,523,1,32.01,0.01,3.88,0.339075,1.0181135,4.68625,5.73595,6.2604275,0.95,1,4.59867200873472,1,"Paraleptophlebia","BMI","Decreasers",-3.88,"AFDM",2.0245,"Sensitive","Other"
0,0,110,1,11.99,0.08,1.49,0,0.066314125,0.688,4.9102355,6.40375,0.85,0.78,3.20508217584392,0,"Parapsyche","BMI","Neither",1.49,"AFDM",NA,"Other","Other"
25.299,25.299,49,2,17.77,0.03,3.53,0.375,0.379,6.5485,22.95135,30.884675,0.91,0.96,4.94010571390333,0,"Parthina","BMI","Neither",3.53,"AFDM",NA,"Other","Other"
0,0,168,1,19.07,0.06,1.83,0,0,1.59825,6.03196800000001,7.30094175,0.52,0.93,3.72366641260895,0,"Pericoma_Telmatoscopus","BMI","Neither",1.83,"AFDM",NA,"Other","Other"
7.64,2.6699,66,1,5.18,0.01,3.71,0.259,0.2742,2.01675,2.724,2.92805,0.99,0.96,4.46706438322306,1,"Perlinodes","BMI","Decreasers",-3.71,"AFDM",2.0245,"Sensitive","Other"
0,0.288,59,2,4.33,0.15,1.06,0,0,0.858,3.40816015,4.934,0.54,0.66,2.4382049019135,0,"Petrophila","BMI","Neither",1.06,"AFDM",NA,"Other","Other"
16.9518,2.5,385,2,23.86,0.01,4.95,0.174225,0.1865,2.645876,9.585995,16.9271,0.85,0.99,5.75128511139332,0,"Physa_Physella","BMI","Neither",4.95,"AFDM",NA,"Other","Other"
20.6259,1.061,131,1,7.74,0.01,2.83,0,0.14265,2.77225,20.6259,20.6259,0.69,1,5.15447310456111,0,"Polycentropus","BMI","Neither",2.83,"AFDM",NA,"Other","Other"
18.91195,0,111,1,14.56,0.02,3.15,0,0,0.945,18.91195,18.91195,0.48,0.92,5.16991527361956,0,"Probezzia","BMI","Neither",3.15,"AFDM",NA,"Other","Other"
0,2.252,143,1,7.99,0.15,0.96,0.1235,0.31735,1.45825,10.8693635,13.70804675,0.53,0.8,3.188923648187,0,"Prostoma","BMI","Neither",0.96,"AFDM",NA,"Other","Other"
0.137,0.727,95,2,7.27,0.01,3.54,0.303,0.36485,0.7265,8.35833650000002,13.1917835,0.97,1,4.61806349222259,2,"Psephenus","BMI","Increasers",3.54,"AFDM",3.08626,"Tolerant","Other"
0,1.0125,74,1,5.15,0.01,3.48,0,0,0.43875,2.067724,2.76265,1,0.98,5.57161539344171,1,"Pteronarcys","BMI","Decreasers",-3.48,"AFDM",2.0245,"Sensitive","Sensitive"
7.64,1.447,206,1,14.48,0.01,6.17,0.37855,0.379,1.51275,2.931,3.12405,1,1,7.59130604820888,1,"Rhithrogena","BMI","Decreasers",-6.17,"AFDM",2.0245,"Sensitive","Sensitive"
0,1.818,566,1,31.24,0.01,6.28,1.364,1.4781,1.9685,3.46925,4.306,0.99,0.99,7.34125608794119,1,"Rhyacophila","BMI","Decreasers",-6.28,"AFDM",2.0245,"Sensitive","Sensitive"
0,0.909,48,1,3.47,0.03,2.76,0,0,0.913,10.31151,15.69283,0.79,0.95,4.13364608994377,0,"Sanfilippodytes","BMI","Neither",2.76,"AFDM",NA,"Other","Other"
19.97435,0.7715,202,2,10.61,0.07,1.57,0.02571992,0.2434,0.8025,9.38955000000008,19.97435,0.65,0.9,3.91708387555916,0,"Sialis","BMI","Neither",1.57,"AFDM",NA,"Other","Other"
22.699,1.8,800,2,44.55,0.01,7.39,0.4023,0.4774,1.3515,1.7555,4.05325,1,1,8.22543218435499,2,"Simulium","BMI","Increasers",7.39,"AFDM",3.08626,"Tolerant","Other"
0.221,1.061,90,1,7.39,0.01,6.94,0.672375,0.951,1.104175,3.4998827,4.28565,0.96,1,5.95533799770972,1,"Skwala","BMI","Decreasers",-6.94,"AFDM",2.0245,"Sensitive","Sensitive"
0,0.209,279,1,24.35,0.02,3.76,0.1956,0.2022,0.947,6.25705000000001,33.260625,0.89,0.98,5.3218990358589,0,"Sphaeriidae","BMI","Neither",3.76,"AFDM",NA,"Other","Other"
0,0,102,1,10.21,0.08,1.61,0,0,0.909,15.70026,16.228,0.55,0.81,3.32707993005161,0,"Stictotarsus","BMI","Neither",1.61,"AFDM",NA,"Other","Other"
25.299,7.499304,50,2,7.54,0.01,5.27,0.32455,0.7029,4.7685,8.79195000000008,21.56013,0.94,0.99,6.41672253922087,0,"Stilobezzia","BMI","Neither",5.27,"AFDM",NA,"Other","Other"
